code,proxy_grain_type,proxy_is_filled,proxy_is_organic,proxy_is_gluten_free,proxy_pasta_shape,proxy_is_vegan,proxy_nutri_score_grade,proxy_protein_class
8001665704106,wheat,True,False,False,,False,,
8001665713221,wheat,True,False,False,other,False,,
8006669002258,wheat,True,True,False,other,False,,med
6130837000370,wheat,False,False,False,,True,,
4001163134218,wheat,False,False,False,,False,,
9003740067655,wheat,False,False,False,penne,True,,
3266140061555,wheat,True,False,False,,False,,
20045371,wheat,False,False,False,noodles,False,,
4104420221536,other,False,False,False,,True,,
8024370056148,wheat,False,False,False,other,True,,
8019010344198,wheat,False,True,False,spaghetti,True,,
8480000062451,wheat,False,False,False,spaghetti,True,,
3229820786346,mixed,False,True,False,spaghetti,True,,
4104420209398,wheat,False,True,False,farfalle,True,,
2000000074755,other,False,False,False,,False,,
8001665708296,wheat,True,False,False,,False,,
8001665127974,wheat,True,False,False,,False,,
7790070320445,wheat,False,False,False,other,True,,
5032722311107,,False,True,False,tagliatelle,True,,
5060262485583,wheat,True,False,False,,False,,
8053904630592,other,False,False,True,noodles,True,,
3266140060176,wheat,True,False,False,,False,,
3263859472412,wheat,True,False,False,,False,,
