code,product_name,brands,ingredients_text,quantity,lang,source,silver_milk_source,manual_milk_source,manual_milk_source_status,manual_milk_source_at,manual_milk_source_mode,manual_milk_source_note,silver_texture,manual_texture,manual_texture_status,manual_texture_at,manual_texture_mode,manual_texture_note,silver_country_of_origin,manual_country_of_origin,manual_country_of_origin_status,manual_country_of_origin_at,manual_country_of_origin_mode,manual_country_of_origin_note,silver_fat_class,manual_fat_class,manual_fat_class_status,manual_fat_class_at,manual_fat_class_mode,manual_fat_class_note,silver_is_pdo,manual_is_pdo,manual_is_pdo_status,manual_is_pdo_at,manual_is_pdo_mode,manual_is_pdo_note,silver_is_organic,manual_is_organic,manual_is_organic_status,manual_is_organic_at,manual_is_organic_mode,manual_is_organic_note,silver_is_ultra_processed,manual_is_ultra_processed,manual_is_ultra_processed_status,manual_is_ultra_processed_at,manual_is_ultra_processed_mode,manual_is_ultra_processed_note
4056489547136,Bio Gouda am Stück,"Lidl, Milbona","Pasteurisierte _Kuhmilch_, Speisesalz, Käsereikulturen, mikrobielles Lab.",200g,,pool_a_typical,cow,cow,confirmed,2026-05-15T15:29:26+00:00,llm,,hard,hard,confirmed,2026-05-15T15:29:26+00:00,llm,,netherlands,netherlands,confirmed,2026-05-15T15:29:26+00:00,llm,,high,high,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,True,True,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,
3542860692010,Comté 15 mois,Jura flore,"_Lait_ cru de vache, ferments lactiques (_lait_), sel, présure,",200 g,,pool_a_typical,cow,cow,confirmed,2026-05-15T15:29:26+00:00,llm,,hard,hard,confirmed,2026-05-15T15:29:26+00:00,llm,,france,france,confirmed,2026-05-15T15:29:26+00:00,llm,,very_high,very_high,confirmed,2026-05-15T15:29:26+00:00,llm,,True,True,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,
4388844123229,Gouda Holland,ja!,"Gouda Holland mittelalt 48% Fett i.Tr, Konservierungsstoffe (Natriumnitrat, Natamycin), Farbstoff (Carotin).",300 g,,pool_a_typical,cow,cow,confirmed,2026-05-15T15:29:26+00:00,llm,,hard,hard,confirmed,2026-05-15T15:29:26+00:00,llm,,netherlands,netherlands,confirmed,2026-05-15T15:29:26+00:00,llm,,high,very_high,override,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,True,False,override,2026-05-15T15:29:26+00:00,llm,
3412290023909,Paysan Breton - L'Emmental Français Râpé,Paysan Breton,"_lait_ pasteurisé, sel, ferments (_lait_)",150 g,,pool_a_typical,cow,cow,confirmed,2026-05-15T15:29:26+00:00,llm,,hard,hard,confirmed,2026-05-15T15:29:26+00:00,llm,,france,france,confirmed,2026-05-15T15:29:26+00:00,llm,,high,very_high,override,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,
3222471139004,Emmental français râpé,"Casino, Groupe Casino",Lait de vache pasteurisé (origine : France) - sel - ferments lactiques (contient lait) - coagulant microbien,100 g,,pool_a_typical,cow,cow,confirmed,2026-05-15T15:29:26+00:00,llm,,hard,hard,confirmed,2026-05-15T15:29:26+00:00,llm,,france,france,confirmed,2026-05-15T15:29:26+00:00,llm,,high,high,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,
4056489030843,Gouda Holland jung,"Lidl, Milbona","pasteurisierte Kuhmilch, Speisesalz, Käsereikulturen, mikrobielles Lab, Konservierungsstoff: Natamycin*.",450g,,pool_a_typical,cow,cow,confirmed,2026-05-15T15:29:26+00:00,llm,,hard,hard,confirmed,2026-05-15T15:29:26+00:00,llm,,netherlands,netherlands,confirmed,2026-05-15T15:29:26+00:00,llm,,high,high,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,True,False,override,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,
3256224332350,"Emmental français rapé 29%mg, 100g",U,"LAIT de vache pasteurisé (France), sel, ferments (dont LAIT), coagulant microbien",100 g,,pool_a_typical,cow,cow,confirmed,2026-05-15T15:29:26+00:00,llm,,hard,hard,confirmed,2026-05-15T15:29:26+00:00,llm,,france,france,confirmed,2026-05-15T15:29:26+00:00,llm,,high,high,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,
3184030003617,Paysan Breton - L'Emmental Français Râpé,Paysan Breton,"_lait_ pasteurisé, sel, _ferments",70 g,,pool_a_typical,cow,cow,confirmed,2026-05-15T15:29:26+00:00,llm,,hard,hard,confirmed,2026-05-15T15:29:26+00:00,llm,,france,france,confirmed,2026-05-15T15:29:26+00:00,llm,,high,very_high,override,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,
3564700014646,Emmental râpé,Les Croisés,"Lait de vache pasteurisé, sel, ferments (dont lait). [LI facultatif]",3 x 70 g,,pool_a_typical,cow,cow,confirmed,2026-05-15T15:29:26+00:00,llm,,hard,hard,confirmed,2026-05-15T15:29:26+00:00,llm,,france,france,confirmed,2026-05-15T15:29:26+00:00,llm,,high,very_high,override,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,
4337256610445,Maasdamer,ja!,"_Käsereimilch_, Speisesalz, Reifungskulturen, mikrobielles Lab.",300 g,,pool_a_typical,cow,cow,confirmed,2026-05-15T15:29:26+00:00,llm,,hard,hard,confirmed,2026-05-15T15:29:26+00:00,llm,,netherlands,netherlands,confirmed,2026-05-15T15:29:26+00:00,llm,,high,high,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,,False,False,confirmed,2026-05-15T15:29:26+00:00,llm,
